Country,IndicatorName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Albania,Exports of goods and services,508501251,523137162,538480502,553185620,569621270,587262561,599747151,621912220,643516286,517741716,495098223,509174644,441832335,419501686,396275855,377381357,360941472,367818673,403069861,527545705,319062099,115386954,174210712,262251198,213519656,298506375,400376915,244393485,317812211,584401741,701537988,837739336,912362528,1159419725,1594562079,1853023789,2242665597,3016116399,3259293794,3040047675,3337089894,3769451993,3565050339,3694417325,3732053470,3104896992,3437122661,4110293871,4785183699,4821429059,3435536125,5613910355,7073860671,9104535744
Albania,Imports of goods and services,504595820,519031885,533991647,549392880,564865686,581508042,598313395,613947755,634434147,528366688,473812509,500031787,504546621,452501686,413132998,415238500,365227187,370532959,454344224,574690891,482885243,440680946,1341966406,1059249155,732636454,825792160,1158531989,867339328,1026883225,1204030662,1511477625,1773289312,2072496174,2567904223,3217437848,3853672263,4364190387,5867639991,6717539632,6004538213,5792190757,6700237043,5860876129,5999384873,6243003413,5070979266,5436220472,6070361041,6856196995,6926957010,5636281638,8016547527,9033377073,10320403398
Albania,Gross Domestic Product (GDP),2265577056,2330584860,2397526448,2466543461,2537015817,2610110369,2685745678,2760746397,2842275926,2372305641,2141837051,2215474766,2280424885,2305384485,2275736342,2324414456,2397086883,2378194810,2460399974,2940586487,2145756393,1597144216,1516136387,1700442876,1880950821,2392764887,3199642024,2224654241,2554868837,3221670165,3487586302,3926887597,4355865889,5561459461,7177030365,8052079314,8896076004,10677322220,12881352058,12044210390,11926878548,12890720628,12319824990,12776196147,13228100114,11386876960,11861207886,13019731318,15156427728,15401822168,15162733548,17930564142,18916378916,22977674003
Albania,"Agriculture, hunting, forestry, fishing (ISIC A-B)",864793402,889758995,915350702,941147592,969063811,996627620,1022980841,1057872940,1084112844,896897900,835437843,833341568,839214356,912584019,874483025,933658742,946140415,916600515,899728464,1102604964,893980994,702680821,851656499,962498768,1064676173,1353006500,1165012172,701730328,735433728,835020547,854994369,892039491,959387052,1222309206,1473979499,1517435147,1575352038,1831547553,2168844594,2022753109,2141583015,2349571753,2312038884,2499688493,2644330679,2252343967,2354447510,2476624685,2793252410,2832292984,2915069419,3291715601,3522763470,4197328707
Albania,"Mining, Manufacturing, Utilities (ISIC C-E)",794665515,817625694,841009277,864924791,890563577,915249547,940829093,972124733,993483439,828532376,765881710,757205753,794485919,792268727,796395710,802339998,835559339,871576510,914413487,1005124305,863178766,554021595,276545821,254823499,255045177,303497948,328096576,207636030,209136519,256181697,281143315,302033004,298012801,459173139,645825934,784425326,861239377,1002193964,1203316881,1138813040,1432482922,1517127070,1420427820,1632097474,1705971748,1463904892,1451728699,1460912678,1863614714,1856255443,1696567438,2014151523,2207155662,2497938381
Albania,Manufacturing (ISIC D),394647786,406050295,417663130,429539992,442272785,454532595,467235377,482777882,493385987,411464971,380354207,376047385,394549214,393467139,395515949,398412055,415027346,432850606,453873784,499703014,428492885,274541002,138314057,125767423,125719469,155988530,155433263,101965734,120689616,146019874,150589639,160961687,177133979,229365194,299825869,356374257,436350501,565560820,643779238,626006894,650270036,729860665,568489844,646452529,704507016,645804411,674240490,801774139,929583986,963568289,933423401,1103656986,1236498027,1355650144
Albania,Construction (ISIC F),239349639,246266478,253312262,260505787,268239525,275682329,283335184,292843798,299271168,249378663,230908941,228080357,238543430,240076335,239213923,238587136,260210442,254914828,263741825,357300814,206116783,153150026,167657561,223127103,262068124,356577942,227798422,195239489,182956419,276568162,395296604,551501881,708470810,878668370,1124426141,1235173366,1390196156,1703471495,2037763005,1801621084,1541794683,1639096428,1403098112,1314271744,1139249147,1014292708,1055955857,1189689337,1361581023,1319547939,1353345313,1705900116,1839891273,2363259416
Albania,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",212298036,218254570,224562082,231376034,237145264,244599520,253080274,255311203,268387646,227235273,186818422,222147718,227736104,212349548,212423943,209396078,212964193,203583511,222688872,274250129,139120705,122150972,130406470,155783276,177094354,223341107,625299293,439101205,497629404,682986473,654547603,666791685,686356084,804117115,1002545049,1111446453,1183077159,1425853939,1700408136,1576531060,1515180398,1619210572,1553856772,1619639914,1699841676,1431451367,1524624524,1684388749,1990124627,2091845806,2036680547,2387169733,2725469085,3194472900
Albania,"Transport, storage and communication (ISIC I)",45739633,47022973,48381941,49849969,51092986,52699055,54526020,55006962,57824371,48957156,40250836,47862121,49062506,45756103,45765498,45101359,45913859,43841801,47926819,59296772,29858050,26240938,28586751,32693859,38152615,51952715,114349551,102111606,143265871,198712208,196444660,277606874,300654803,357076340,523448464,616572334,692610051,899254070,1060565779,994083408,883522658,963838612,904978085,760636263,767253508,686044432,729023501,818343409,932497241,964498282,884922988,1093786945,1195484871,1427235045
Albania,Other Activities (ISIC J-P),188952171,194253684,199867591,205932186,211067032,217701614,225249517,227235455,238873997,202245990,166275409,197719081,202688856,189004265,189062501,186354678,189580517,181171357,198143461,244331880,123685370,108637828,116624857,137636507,157674605,203110551,532941766,400164094,483100181,627139202,694106173,820454112,919826699,1169697425,1530010619,1779029197,1996188163,2441216687,2996891910,2887506644,2852186909,3121934669,3079501467,3318812015,3589073758,3152835386,3285193226,3742760705,4315418985,4399264211,4409233739,5101191187,5036133310,6407602089
